day,average_trip_distance,total_fare_amount,trip_count,peak_hour
2022-06-08,49.461483003362,39903.47999999998,2677,17
2022-06-08,49.46148300336199,39903.47999999998,2677,17
2022-06-08,49.461483003362,39903.47999999998,2677,17
2022-06-08,49.461483003362,39903.47999999998,2677,17
2022-06-08,49.461483003362,39903.47999999998,2677,17
2022-06-08,49.461483003362,39903.479999999974,2677,17
2022-06-08,49.461483003362,39903.47999999998,2677,17
2022-06-08,49.461483003362,39903.47999999998,2677,17
2022-06-08,49.46148300336199,39903.47999999998,2677,17
2022-06-08,49.461483003362,39903.47999999998,2677,17
2022-06-08,49.46148300336199,39903.47999999998,2677,17
2022-06-08,49.46148300336199,39903.47999999998,2677,17
2022-06-08,49.461483003362,39903.47999999998,2677,17
2022-06-08,49.461483003362,39903.47999999998,2677,17
2022-06-08,49.461483003362,39903.479999999974,2677,17
2022-06-08,49.461483003362,39903.47999999998,2677,17
2022-06-08,49.461483003362,39903.47999999998,2677,17
2022-06-08,49.461483003362,39903.47999999998,2677,17
2022-06-08,49.461483003362,39903.47999999998,2677,17
2022-06-08,49.461483003362,39903.47999999998,2677,17
2022-06-08,49.461483003362,39903.47999999998,2677,17
2022-06-09,60.00803455723538,43009.04999999998,2778,18
2022-06-09,60.00803455723538,43009.04999999998,2778,18
2022-06-09,60.00803455723538,43009.04999999998,2778,18
2022-06-09,60.00803455723538,43009.04999999998,2778,18
2022-06-09,60.00803455723538,43009.04999999998,2778,18
2022-06-09,60.00803455723538,43009.04999999998,2778,18
2022-06-09,60.00803455723539,43009.04999999998,2778,18
2022-06-09,60.00803455723538,43009.04999999998,2778,18
2022-06-09,60.00803455723538,43009.04999999999,2778,18
2022-06-09,60.00803455723539,43009.04999999998,2778,18
2022-06-09,60.00803455723538,43009.04999999998,2778,18
2022-06-09,60.00803455723538,43009.04999999998,2778,18
2022-06-09,60.00803455723538,43009.04999999998,2778,18
2022-06-09,60.00803455723539,43009.04999999998,2778,18
2022-06-09,60.00803455723538,43009.04999999998,2778,18
2022-06-09,60.00803455723538,43009.04999999998,2778,18
2022-06-09,60.00803455723538,43009.04999999998,2778,18
2022-06-09,60.00803455723538,43009.04999999998,2778,18
2022-06-09,60.00803455723538,43009.04999999998,2778,18
2022-06-09,60.00803455723539,43009.04999999998,2778,18
2022-06-09,60.00803455723538,43009.04999999998,2778,18
2022-06-09,60.00803455723539,43009.04999999998,2778,18
2022-06-09,60.00803455723539,43009.04999999998,2778,18
2022-06-09,60.00803455723539,43009.04999999998,2778,18
2022-06-10,134.35168547249646,45873.74999999999,2836,18
2022-06-10,134.35168547249646,45873.749999999985,2836,18
2022-06-10,134.35168547249646,45873.749999999985,2836,18
2022-06-10,134.35168547249646,45873.749999999985,2836,18
2022-06-10,134.35168547249646,45873.74999999999,2836,18
2022-06-10,134.35168547249646,45873.74999999999,2836,18
2022-06-10,134.35168547249646,45873.749999999985,2836,18
2022-06-10,134.35168547249646,45873.749999999985,2836,18
2022-06-10,134.35168547249643,45873.74999999999,2836,18
2022-06-10,134.35168547249646,45873.74999999999,2836,18
2022-06-10,134.35168547249646,45873.74999999999,2836,18
2022-06-10,134.35168547249646,45873.74999999999,2836,18
2022-06-10,134.35168547249646,45873.749999999985,2836,18
2022-06-10,134.35168547249646,45873.749999999985,2836,18
2022-06-10,134.35168547249646,45873.749999999985,2836,18
2022-06-10,134.35168547249646,45873.74999999999,2836,18
2022-06-10,134.35168547249646,45873.74999999999,2836,18
2022-06-10,134.35168547249646,45873.749999999985,2836,18
2022-06-10,134.35168547249646,45873.74999999999,2836,18
2022-06-10,134.35168547249643,45873.74999999999,2836,18
2022-06-10,134.35168547249646,45873.749999999985,2836,18
2022-06-10,134.35168547249643,45873.74999999999,2836,18
2022-06-10,134.35168547249646,45873.74999999999,2836,18
2022-06-10,134.35168547249646,45873.74999999999,2836,18
2022-06-11,138.03978287587057,40230.76999999999,2441,12
2022-06-11,138.03978287587057,40230.76999999999,2441,12
2022-06-11,138.0397828758706,40230.76999999999,2441,12
2022-06-11,138.03978287587057,40230.76999999999,2441,12
2022-06-11,138.0397828758706,40230.76999999999,2441,12
2022-06-11,138.03978287587057,40230.76999999999,2441,12
2022-06-11,138.03978287587057,40230.77,2441,12
2022-06-11,138.0397828758706,40230.76999999999,2441,12
2022-06-11,138.0397828758706,40230.76999999999,2441,12
2022-06-11,138.0397828758706,40230.76999999999,2441,12
2022-06-11,138.0397828758706,40230.76999999999,2441,12
2022-06-11,138.03978287587057,40230.76999999999,2441,12
2022-06-11,138.03978287587057,40230.76999999999,2441,12
2022-06-11,138.03978287587057,40230.76999999999,2441,12
2022-06-11,138.0397828758706,40230.76999999999,2441,12
2022-06-11,138.0397828758706,40230.76999999999,2441,12
2022-06-11,138.0397828758706,40230.76999999999,2441,12
2022-06-11,138.0397828758706,40230.76999999999,2441,12
2022-06-11,138.0397828758706,40230.76999999999,2441,12
2022-06-11,138.03978287587057,40230.76999999999,2441,12
2022-06-11,138.03978287587057,40230.77,2441,12
2022-06-11,138.03978287587057,40230.77,2441,12
2022-06-11,138.03978287587057,40230.77,2441,12
2022-06-11,138.03978287587057,40230.76999999999,2441,12
2022-06-12,218.32419716935087,34252.479999999996,2049,18
2022-06-12,218.32419716935087,34252.47999999999,2049,18
2022-06-12,218.32419716935087,34252.47999999999,2049,18
2022-06-12,218.32419716935087,34252.479999999996,2049,18
2022-06-12,218.32419716935087,34252.479999999996,2049,18
